team,season,top_archetype,r2,w_Under-center TE motion,"w_Under-center outside, static",w_Downhill under center,w_Motion stretch,w_Gun RPO inside,w_QB-run spread,run_dir,shotgun_share,te_minus_backs,motion_rate,rpo_rate,qb_run_share,comps
NYJ,2025,QB-run spread,0.59,0.107,0.0,0.097,0.161,0.156,0.48,-0.1735,0.5153,0.1531,0.699,0.199,0.1366,"CLE 2024, NO 2025, NYG 2023"
PHI,2022,QB-run spread,0.93,0.0,0.0,0.0,0.0,0.0,1.0,-0.0144,0.8612,0.378,0.2105,0.1579,0.2482,"WAS 2024, NYG 2025, ARI 2022"
PHI,2023,QB-run spread,0.94,0.0,0.0,0.01,0.0,0.0,0.99,-0.2095,0.9426,0.2667,0.2333,0.1333,0.2135,"WAS 2024, IND 2024, NYG 2025"
PHI,2024,QB-run spread,0.93,0.119,0.0,0.0,0.09,0.0,0.791,-0.1264,0.8314,0.4406,0.4598,0.0766,0.1894,"IND 2024, WAS 2024, WAS 2025"
PHI,2025,QB-run spread,0.95,0.0,0.397,0.0,0.0,0.0,0.603,-0.0121,0.6073,0.5385,0.4372,0.1336,0.1241,"NYG 2025, IND 2024, ARI 2023"
PIT,2022,Under-center TE motion,1.0,0.291,0.035,0.216,0.148,0.164,0.145,-0.0421,0.3819,0.2233,0.5307,0.0583,0.055,"DAL 2025, TEN 2024, JAX 2025"
PIT,2023,Under-center TE motion,0.73,0.37,0.045,0.01,0.125,0.321,0.129,-0.0486,0.4126,0.4062,0.6215,0.1458,0.0588,"GB 2025, LAC 2022, TB 2025"
PIT,2024,"Under-center outside, static",0.85,0.336,0.481,0.0,0.0,0.0,0.183,0.0487,0.2846,0.7341,0.4644,0.0412,0.0887,"TEN 2022, DAL 2022, CHI 2025"
PIT,2025,"Under-center outside, static",0.74,0.146,0.341,0.0,0.178,0.335,0.0,0.0677,0.4023,0.609,0.6391,0.1617,0.0,"NYJ 2024, GB 2022, LAC 2022"
SEA,2022,"Under-center outside, static",0.61,0.035,0.552,0.0,0.0,0.257,0.156,-0.0749,0.3733,0.7004,0.2731,0.0793,0.0697,"JAX 2024, DEN 2022, CAR 2022"
SEA,2023,Gun RPO inside,0.69,0.314,0.242,0.022,0.0,0.404,0.019,-0.2181,0.4481,0.6393,0.4918,0.0902,0.0161,"CLE 2025, DEN 2022, TB 2023"
SEA,2024,Gun RPO inside,0.94,0.196,0.023,0.173,0.0,0.44,0.168,-0.2407,0.5417,0.3843,0.5046,0.088,0.0485,"IND 2022, JAX 2023, TB 2023"
SEA,2025,"Under-center outside, static",0.9,0.0,0.757,0.243,0.0,0.0,0.0,0.0038,0.1925,0.3811,0.4906,0.0491,0.0149,"MIN 2024, DEN 2023, TEN 2023"
SF,2022,Downhill under center,0.99,0.046,0.0,0.459,0.362,0.0,0.133,0.0217,0.426,-0.2274,0.5487,0.0397,0.0578,"LAC 2025, DAL 2025, LAC 2024"
SF,2023,Motion stretch,0.9,0.101,0.0,0.446,0.453,0.0,0.0,0.0547,0.375,-0.3672,0.7422,0.0195,0.0519,"MIA 2022, MIA 2024, LA 2023"
SF,2024,Downhill under center,0.88,0.088,0.0,0.538,0.374,0.0,0.0,-0.0048,0.3541,-0.2871,0.7081,0.0144,0.0543,"MIA 2022, LAC 2025, MIA 2024"
SF,2025,Downhill under center,0.85,0.05,0.0,0.631,0.315,0.0,0.004,-0.0714,0.2738,-0.4484,0.7222,0.0159,0.0597,"LAC 2025, MIA 2022, LV 2023"
TB,2022,Under-center TE motion,0.76,0.408,0.064,0.206,0.021,0.254,0.047,-0.1371,0.3831,0.4073,0.5242,0.0363,0.0159,"CLE 2025, PIT 2022, LV 2024"
TB,2023,Gun RPO inside,0.48,0.153,0.21,0.185,0.0,0.304,0.147,-0.252,0.5415,0.4134,0.4409,0.0787,0.0379,"CLE 2025, SEA 2023, CAR 2022"
TB,2024,"Under-center outside, static",1.0,0.216,0.411,0.195,0.156,0.007,0.015,0.0752,0.3421,0.2996,0.5543,0.03,0.0326,"DET 2022, CLE 2023, DET 2025"
TB,2025,Gun RPO inside,0.93,0.295,0.0,0.136,0.101,0.468,0.0,-0.1488,0.3391,0.3772,0.6886,0.173,0.0069,"PIT 2023, PIT 2022, LAC 2022"
TEN,2022,"Under-center outside, static",0.87,0.364,0.544,0.0,0.0,0.0,0.093,0.0382,0.2214,0.6565,0.4122,0.0,0.0709,"PIT 2024, DAL 2022, CHI 2025"
TEN,2023,"Under-center outside, static",0.86,0.138,0.461,0.222,0.0,0.179,0.0,-0.089,0.3701,0.3463,0.4664,0.0495,0.0208,"CLE 2025, NYJ 2023, CLE 2023"
TEN,2024,Under-center TE motion,0.73,0.328,0.046,0.044,0.178,0.191,0.214,-0.0579,0.5496,0.4198,0.5844,0.0576,0.0545,"LAC 2023, PIT 2022, JAX 2022"
TEN,2025,Gun RPO inside,0.84,0.0,0.381,0.017,0.111,0.491,0.0,-0.0204,0.4133,0.3367,0.5714,0.2041,0.0249,"LAC 2022, GB 2025, CHI 2024"
WAS,2022,Motion stretch,0.74,0.276,0.0,0.0,0.382,0.342,0.0,0.1656,0.5061,0.4877,0.6933,0.1104,0.021,"GB 2023, NYJ 2024, GB 2025"
WAS,2023,Gun RPO inside,0.82,0.0,0.226,0.21,0.056,0.37,0.138,-0.1271,0.5967,0.1271,0.4365,0.1381,0.0423,"IND 2022, CAR 2023, SEA 2024"
WAS,2024,QB-run spread,0.97,0.0,0.0,0.0,0.158,0.006,0.836,-0.0144,0.8804,0.2536,0.3923,0.1148,0.1931,"PHI 2024, IND 2024, PHI 2022"
WAS,2025,QB-run spread,0.71,0.222,0.0,0.0,0.212,0.043,0.523,-0.0986,0.6948,0.5211,0.6573,0.108,0.1013,"IND 2024, JAX 2022, LAC 2023"
