season,team,rush_n,pct_end,pct_tackle,pct_guard,pct_middle,dropback_n,pa_rate,cluster
2023,MIA,193,0.5233160621761658,0.1243523316062176,0.1450777202072538,0.2072538860103626,332,0.2801204819277108,1
2023,NYG,215,0.2465116279069767,0.2325581395348837,0.2325581395348837,0.2883720930232558,310,0.2354838709677419,1
2023,PHI,267,0.2771535580524344,0.1310861423220973,0.2921348314606741,0.299625468164794,401,0.2793017456359102,1
2023,SF,268,0.2313432835820895,0.2761194029850746,0.2164179104477611,0.2761194029850746,374,0.232620320855615,1
2024,BAL,278,0.3093525179856115,0.2266187050359712,0.2949640287769784,0.1690647482014388,305,0.3180327868852459,1
2024,CHI,219,0.3424657534246575,0.182648401826484,0.2602739726027397,0.2146118721461187,310,0.2612903225806451,1
2024,GB,274,0.2445255474452554,0.2116788321167883,0.2408759124087591,0.3029197080291971,258,0.2596899224806202,1
2024,HOU,258,0.2906976744186046,0.2674418604651162,0.2403100775193798,0.2015503875968992,420,0.2785714285714286,1
2024,JAX,250,0.188,0.2,0.18,0.432,315,0.273015873015873,1
2024,MIN,199,0.2663316582914573,0.2110552763819095,0.2261306532663316,0.2964824120603015,367,0.2779291553133515,1
2024,SF,221,0.253393665158371,0.2217194570135746,0.2262443438914027,0.2986425339366516,306,0.2483660130718954,1
2024,TB,271,0.2546125461254612,0.2804428044280442,0.2841328413284132,0.1808118081180811,365,0.2356164383561644,1
2024,WAS,258,0.3294573643410852,0.2209302325581395,0.2248062015503876,0.2248062015503876,420,0.2547619047619047,1
2025,DEN,291,0.2783505154639175,0.2611683848797251,0.2611683848797251,0.1993127147766323,489,0.2597137014314928,1
2025,GB,303,0.2838283828382838,0.2178217821782178,0.2277227722772277,0.2706270627062706,368,0.2690217391304347,1
2025,JAX,239,0.301255230125523,0.1506276150627615,0.1966527196652719,0.3514644351464435,361,0.2576177285318559,1
2025,PIT,266,0.2631578947368421,0.2706766917293233,0.2368421052631578,0.2293233082706766,390,0.2307692307692307,1
