season,team,cluster_k5,label_k5,silhouette_k5,runner_up_k5,margin_k5,cluster_k7,label_k7,silhouette_k7,runner_up_k7,margin_k7,PC1,PC2,PC3,PC4,PC5,proe_early,under_center,pistol,pers_11,multi_te,two_back,empty_backfield,extra_ol,motion,no_huddle,outside_run,qb_design_run,rpo,play_action,screen,qb_out_of_pocket,time_to_throw,rb_target_share,te_target_share,n_plays,n_dropbacks
2023,BUF,0,"Shotgun spread, pass-first",-0.008,Shotgun QB-run / RPO,0.027,3,Pass-first spread (early-down PROE),0.097,Shotgun QB-run / RPO,0.185,1.923,1.1,1.579,0.012,1.616,0.0132,0.2531,0.0015,0.6631,0.2374,0.075,0.098,0.0858,0.4533,0.1103,0.3593,0.0306,0.0965,0.2245,0.074,0.2372,2.5,0.1298,0.2655,653,392
2023,CAR,0,"Shotgun spread, pass-first",0.146,Shotgun QB-run / RPO,0.3,0,"Shotgun spread, balanced",0.168,Under-center 11p + motion (McVay-style),0.246,1.799,-0.021,-0.285,-1.429,-0.122,-0.075,0.2252,0.0977,0.8366,0.137,0.0066,0.0644,0.0083,0.401,0.0578,0.4453,0.0017,0.0644,0.1923,0.0888,0.2071,2.4,0.1227,0.1733,606,338
2023,CHI,4,Heavy power run + QB run,0.134,Under-center play-action,0.323,6,Heavy power run + QB run,0.14,"Under-center, multi-TE play-action",0.344,-2.057,2.664,1.874,-1.877,-1.156,-0.0478,0.2528,0.0943,0.5226,0.3477,0.1466,0.0451,0.0019,0.5338,0.0489,0.5838,0.0658,0.0658,0.3017,0.122,0.2881,2.8,0.1814,0.2278,532,295
2023,CIN,0,"Shotgun spread, pass-first",0.272,Shotgun QB-run / RPO,0.359,3,Pass-first spread (early-down PROE),0.273,"Shotgun spread, balanced",0.394,3.524,-0.313,-1.744,1.805,0.819,0.1069,0.135,0.0083,0.7231,0.2255,0.0066,0.0995,0.0282,0.4245,0.0216,0.369,0.0017,0.1327,0.2117,0.1411,0.1411,2.2,0.1556,0.1889,603,411
2023,CLE,1,Under-center play-action,0.121,"Shotgun spread, pass-first",0.279,1,"Under-center, multi-TE play-action",0.128,Pass-first spread (early-down PROE),0.226,0.215,-0.556,1.427,0.931,1.159,-0.0093,0.3466,0.0192,0.7043,0.2496,0.0016,0.1097,0.1161,0.4499,0.0509,0.5224,0.0175,0.027,0.2554,0.0924,0.1929,2.4,0.1651,0.3022,629,368
2023,DAL,1,Under-center play-action,0.046,"Shotgun spread, pass-first",0.188,2,Under-center 11p + motion (McVay-style),0.228,"Under-center, multi-TE play-action",0.494,-0.066,-0.666,0.18,-0.43,1.289,0.0324,0.3645,0.0056,0.6262,0.2243,0.1159,0.1028,0.0075,0.4766,0.0187,0.5269,0.0112,0.0523,0.2849,0.089,0.2196,2.41,0.1706,0.1877,535,337
2023,DEN,1,Under-center play-action,0.023,"Shotgun spread, pass-first",0.053,0,"Shotgun spread, balanced",0.098,"Under-center, multi-TE play-action",0.164,-0.806,-1.098,-0.311,0.951,-2.938,-0.0382,0.4469,0.002,0.5204,0.3184,0.1592,0.0776,0.0592,0.3714,0.0816,0.5756,0.0082,0.0551,0.2243,0.1507,0.2059,2.5,0.3364,0.1136,490,272
2023,DET,1,Under-center play-action,0.325,"Shotgun spread, pass-first",0.582,1,"Under-center, multi-TE play-action",0.091,Under-center 11p + motion (McVay-style),0.2,-1.181,-1.878,0.975,0.258,0.656,-0.0463,0.4622,0.0074,0.5835,0.345,0.0642,0.0679,0.0495,0.5174,0.0294,0.5868,0.0037,0.0257,0.2642,0.0736,0.087,2.4,0.1367,0.2302,545,299
2023,GB,1,Under-center play-action,0.234,"Shotgun spread, pass-first",0.617,1,"Under-center, multi-TE play-action",0.173,"Shotgun spread, balanced",0.432,-0.962,-0.432,0.385,0.098,-0.028,-0.0205,0.3215,0.0423,0.5556,0.4125,0.0303,0.0758,0.0152,0.6279,0.0488,0.4839,0.0051,0.0539,0.292,0.1091,0.1475,2.5,0.1688,0.2013,594,339
2023,HOU,1,Under-center play-action,0.31,"Shotgun spread, pass-first",0.457,2,Under-center 11p + motion (McVay-style),0.2,"Under-center, multi-TE play-action",0.352,-1.564,-0.738,0.968,-1.677,1.121,-0.0469,0.4336,0.0218,0.5261,0.1815,0.3328,0.0655,0.0118,0.521,0.0555,0.494,0.005,0.0218,0.2908,0.0801,0.2344,2.5,0.1229,0.2048,595,337
