season,team,cluster,pc1,pc2,pct_under_center,pct_top_personnel,rush_rate,pa_personnel_match,disguise_entropy,outside_run_rate,pa_boot_rate,motion_rate,designed_qb_run_rate,rpo_rate,no_huddle_rate
2025,NE,4,-1.5999,-1.1797,0.4369,0.6352,0.4385,0.9625,0.8096,0.4307,0.3119,0.5368,0.0235,0.0166,0.0097
2025,NO,1,0.8433,0.4433,0.2596,0.7055,0.4642,0.9246,0.8691,0.3867,0.5,0.6572,0.0932,0.0782,0.2146
2025,NYG,0,2.3736,2.4462,0.2712,0.5092,0.5,0.8673,0.8885,0.4928,0.3838,0.3877,0.1711,0.1331,0.2213
2025,NYJ,0,0.2837,2.9827,0.3363,0.6772,0.5688,0.8656,0.9044,0.44,0.4906,0.6998,0.4086,0.1129,0.0406
2025,PHI,1,1.2286,1.1337,0.232,0.6313,0.4762,0.8961,0.8835,0.4804,0.4444,0.5038,0.0538,0.0707,0.2043
2025,PIT,1,0.2738,0.5391,0.3521,0.4817,0.4192,0.7646,0.8091,0.5338,0.4111,0.5991,0.0,0.0808,0.0732
2025,SEA,5,-2.2197,0.8475,0.5573,0.4684,0.4761,0.9407,0.8207,0.5,0.4945,0.5863,0.0034,0.0291,0.0598
2025,SF,4,-1.9329,-0.261,0.4845,0.823,0.4488,0.9038,0.8688,0.4532,0.2925,0.7314,0.337,0.0093,0.0311
2025,TB,4,-0.5155,-0.1388,0.3881,0.6575,0.4871,0.9406,0.8109,0.4296,0.4,0.6545,0.003,0.0883,0.0518
2025,TEN,1,0.4623,0.1338,0.3627,0.633,0.4592,0.953,0.8515,0.495,0.4416,0.5322,0.0107,0.1223,0.03
2025,WAS,0,1.9702,2.6396,0.1477,0.5606,0.517,0.9334,0.8461,0.4831,0.3146,0.6212,0.0473,0.0682,0.6269
