season,team,rush_n,pct_end,pct_tackle,pct_guard,pct_middle,dropback_n,pa_rate
2024,DET,263,0.2661596958174905,0.34980988593155893,0.13688212927756654,0.24714828897338403,305,0.3639344262295082
2024,GB,274,0.24452554744525548,0.2116788321167883,0.24087591240875914,0.3029197080291971,258,0.2596899224806202
2024,HOU,258,0.29069767441860467,0.26744186046511625,0.24031007751937986,0.20155038759689922,420,0.2785714285714286
2024,IND,302,0.1986754966887417,0.24834437086092714,0.23841059602649006,0.31456953642384106,321,0.3426791277258567
2024,JAX,250,0.188,0.2,0.18,0.432,315,0.273015873015873
2024,KC,298,0.18456375838926176,0.13758389261744966,0.40268456375838924,0.2751677852348993,514,0.2529182879377432
2024,LA,311,0.18971061093247588,0.2347266881028939,0.2508038585209003,0.3247588424437299,400,0.3675
2024,LAC,250,0.224,0.264,0.232,0.28,374,0.3422459893048128
2024,LV,250,0.156,0.164,0.32,0.36,357,0.28291316526610644
2024,MIA,271,0.35793357933579334,0.22509225092250923,0.16236162361623616,0.25461254612546125,334,0.30538922155688625
2024,MIN,199,0.2663316582914573,0.21105527638190955,0.22613065326633167,0.2964824120603015,367,0.2779291553133515
2024,NE,223,0.19282511210762332,0.242152466367713,0.31390134529147984,0.25112107623318386,315,0.24126984126984127
2024,NO,250,0.364,0.3,0.252,0.084,290,0.2655172413793103
2024,NYG,258,0.15891472868217055,0.26744186046511625,0.3333333333333333,0.24031007751937986,324,0.30246913580246915
2024,NYJ,246,0.3008130081300813,0.2967479674796748,0.17073170731707318,0.23170731707317074,397,0.28211586901763225
2024,PHI,320,0.221875,0.225,0.35,0.203125,341,0.2668621700879765
2024,PIT,290,0.2,0.3137931034482759,0.3,0.18620689655172415,359,0.31197771587743733
2024,SEA,222,0.1891891891891892,0.18468468468468469,0.36486486486486486,0.26126126126126126,354,0.2401129943502825
2024,SF,221,0.25339366515837103,0.22171945701357465,0.22624434389140272,0.2986425339366516,306,0.24836601307189543
2024,TB,271,0.25461254612546125,0.28044280442804426,0.28413284132841327,0.18081180811808117,365,0.2356164383561644
2024,TEN,253,0.25691699604743085,0.20948616600790515,0.2648221343873518,0.26877470355731226,297,0.31313131313131315
2024,WAS,258,0.32945736434108525,0.22093023255813954,0.2248062015503876,0.2248062015503876,420,0.25476190476190474
2025,ARI,176,0.24431818181818182,0.3352272727272727,0.10227272727272728,0.3181818181818182,339,0.32448377581120946
2025,ATL,279,0.23655913978494625,0.4014336917562724,0.24731182795698925,0.11469534050179211,356,0.25842696629213485
2025,BAL,271,0.24723247232472326,0.28413284132841327,0.2988929889298893,0.16974169741697417,278,0.24820143884892087
2025,BUF,288,0.18055555555555555,0.2673611111111111,0.2847222222222222,0.2673611111111111,376,0.2978723404255319
2025,CAR,276,0.18478260869565216,0.20652173913043478,0.3007246376811594,0.3079710144927536,355,0.28169014084507044
2025,CHI,319,0.219435736677116,0.2852664576802508,0.3166144200626959,0.1786833855799373,409,0.37897310513447435
2025,CIN,206,0.1553398058252427,0.1796116504854369,0.38349514563106796,0.2815533980582524,371,0.18598382749326145
2025,CLE,257,0.19066147859922178,0.22178988326848248,0.3151750972762646,0.2723735408560311,313,0.30670926517571884
2025,DAL,259,0.17374517374517376,0.25868725868725867,0.2471042471042471,0.3204633204633205,373,0.3351206434316354
2025,DEN,291,0.27835051546391754,0.2611683848797251,0.2611683848797251,0.19931271477663232,489,0.25971370143149286
2025,DET,260,0.21923076923076923,0.3269230769230769,0.21153846153846154,0.2423076923076923,327,0.3119266055045872
2025,GB,303,0.2838283828382838,0.21782178217821782,0.22772277227722773,0.2706270627062706,368,0.26902173913043476
2025,HOU,282,0.13120567375886524,0.2375886524822695,0.34397163120567376,0.2872340425531915,417,0.26618705035971224
2025,IND,255,0.16862745098039217,0.19215686274509805,0.20392156862745098,0.43529411764705883,368,0.33152173913043476
2025,JAX,239,0.301255230125523,0.1506276150627615,0.19665271966527198,0.3514644351464435,361,0.25761772853185594
2025,KC,244,0.1721311475409836,0.2581967213114754,0.30327868852459017,0.26639344262295084,417,0.2014388489208633
2025,LA,284,0.15845070422535212,0.29577464788732394,0.2535211267605634,0.29225352112676056,462,0.3484848484848485
2025,LAC,224,0.19196428571428573,0.25,0.24553571428571427,0.3125,378,0.2724867724867725
2025,LV,218,0.15137614678899083,0.1926605504587156,0.3761467889908257,0.2798165137614679,311,0.3311897106109325
2025,MIA,198,0.36363636363636365,0.2676767676767677,0.18181818181818182,0.18686868686868688,235,0.3617021276595745
2025,MIN,228,0.2982456140350877,0.2236842105263158,0.18421052631578946,0.29385964912280704,306,0.3300653594771242
2025,NE,274,0.18613138686131386,0.24452554744525548,0.3029197080291971,0.2664233576642336,445,0.2449438202247191
2025,NO,256,0.21484375,0.171875,0.36328125,0.25,342,0.25146198830409355
2025,NYG,276,0.15579710144927536,0.33695652173913043,0.2536231884057971,0.2536231884057971,325,0.3046153846153846
2025,NYJ,225,0.19555555555555557,0.24444444444444444,0.35555555555555557,0.20444444444444446,215,0.24651162790697675
2025,PHI,281,0.23487544483985764,0.24555160142348753,0.31316725978647686,0.20640569395017794,369,0.2682926829268293
2025,PIT,266,0.2631578947368421,0.2706766917293233,0.23684210526315788,0.22932330827067668,390,0.23076923076923078
2025,SEA,266,0.3458646616541353,0.15413533834586465,0.24436090225563908,0.2556390977443609,316,0.2911392405063291
2025,SF,267,0.2546816479400749,0.19850187265917604,0.29213483146067415,0.2546816479400749,376,0.28191489361702127
2025,TB,291,0.21649484536082475,0.21305841924398625,0.33676975945017185,0.23367697594501718,365,0.2191780821917808
2025,TEN,200,0.225,0.27,0.26,0.245,265,0.29056603773584905
2025,WAS,236,0.21610169491525424,0.2669491525423729,0.2923728813559322,0.2245762711864407,290,0.30689655172413793
